,Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,YearMonth,Revenue,MarketGrowth,TotalMarketRevenue,MarketShare,Rating,Review
0,100001,25586,Steel Water Bottle,20,2024-10-05 07:45:06,337.24,5095,Nepal,2024-10,6744.8,0.10147601476014767,709513.82,0.009506227799762942,4.9,"Bought again, loved it"
1,100002,32975,KTM Bike Helmet,16,2025-02-16 22:46:32,1391.91,8171,Nepal,2025-02,22270.56,-0.21399730820995966,798494.09,0.0278907011071303,3.2,Average quality
2,100003,39094,Wall Calendar,17,2024-09-01 23:46:16,292.55,6059,Nepal,2024-09,4973.35,-0.09666666666666668,698740.75,0.007117589749846421,2.9,Item arrived damaged
3,100004,68270,SastoDeal Hoodie,4,2025-06-01 23:36:07,1422.84,8490,Nepal,2025-06,5691.36,-0.5720338983050848,347660.77,0.016370440645345173,4.6,Worth the money
4,100005,27628,Himalayan Noodles Pack,16,2025-04-27 14:42:37,56.03,5106,Nepal,2025-04,896.48,-0.047256097560975596,832280.23,0.0010771372041361597,3.6,It's okay
5,100006,85666,Mi Smartphone Case,7,2025-04-25 17:01:54,616.27,9934,Nepal,2025-04,4313.889999999999,-0.047256097560975596,832280.23,0.0051832181571824665,4.5,Very satisfied
6,100007,16669,KTM Bike Helmet,9,2024-12-27 11:14:58,1300.23,8472,Nepal,2024-12,11702.07,0.08910891089108919,570405.23,0.020515362385439558,4.6,"Bought again, loved it"
7,100008,42147,Rudraksha Mala,3,2025-01-30 18:50:59,255.94,6746,Nepal,2025-01,767.8199999999999,0.35090909090909084,1048154.77,0.0007325444886350132,4.7,Very satisfied
8,100009,36721,Buddha Keychain,18,2025-04-27 15:37:56,149.87,6156,Nepal,2025-04,2697.66,-0.047256097560975596,832280.23,0.003241288093554739,4.1,Highly useful
9,100010,52223,Mi Smartphone Case,13,2025-01-13 03:07:10,620.35,6355,Nepal,2025-01,8064.55,0.35090909090909084,1048154.77,0.007694045031155084,4.5,Great product!
10,100011,36994,Toothbrush Set,13,2025-02-26 14:09:07,122.49,9605,Nepal,2025-02,1592.37,-0.21399730820995966,798494.09,0.0019942163880010684,3.8,Reasonable for the price
11,100012,95947,Mi Smartphone Case,7,2024-11-19 23:36:16,278.76,9822,Nepal,2024-11,1951.32,-0.15410385259631487,547351.24,0.003565023439062639,4.9,Worth the money
12,100013,56905,CG Electric Kettle,17,2025-04-06 00:46:44,1874.2,7585,Nepal,2025-04,31861.4,-0.047256097560975596,832280.23,0.03828205795540764,1.7,Item arrived damaged
13,100014,46990,Rice Cooker Small,13,2025-06-03 19:41:21,2004.33,6187,Nepal,2025-06,26056.29,-0.5720338983050848,347660.77,0.07494745524495042,4.3,Good quality at a fair price
14,100015,89792,Nepali Tea Box,12,2024-07-02 10:58:34,183.87,9609,Nepal,2024-07,2206.44,0.3227848101265822,654158.58,0.003372943606426442,4.1,Good quality at a fair price
15,100016,89353,SastoDeal Hoodie,4,2024-07-02 05:44:07,1184.8,9608,Nepal,2024-07,4739.2,0.3227848101265822,654158.58,0.007244726500415236,4.2,Good quality at a fair price
16,100017,70650,Wooden Wall Clock,7,2024-10-21 10:56:34,1367.06,6520,Nepal,2024-10,9569.42,0.10147601476014767,709513.82,0.013487291903630575,3.6,Works okay but packaging could improve
17,100018,29595,Electric Induction Stove,12,2025-03-28 05:27:37,4760.45,9723,Nepal,2025-03,57125.399999999994,0.12328767123287676,953405.02,0.059917242726496234,4.5,Will recommend for sure
